,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PLTR250207C00040000,2025-01-31 20:45:12+00:00,40.0,42.63,42.25,43.05,2.5300026,6.3092337,69.0,78,2.7851592871093755,True,REGULAR,USD
1,PLTR250207C00045000,2025-01-31 20:51:58+00:00,45.0,38.39,36.55,37.9,3.1499977,8.938699,15.0,77,2.80469048828125,True,REGULAR,USD
2,PLTR250207C00049500,2025-01-29 20:13:20+00:00,49.5,30.5,32.1,33.75,30.5,,,2,2.7734405664062503,True,REGULAR,USD
3,PLTR250207C00050000,2025-01-31 20:46:56+00:00,50.0,33.0,31.55,33.15,1.1800003,3.7083604,93.0,253,2.6386752783203127,True,REGULAR,USD
4,PLTR250207C00051000,2025-01-31 20:31:07+00:00,51.0,31.39,30.45,32.25,31.39,,9.0,3,2.6386752783203127,True,REGULAR,USD
5,PLTR250207C00052000,2025-01-28 17:29:32+00:00,52.0,28.15,29.45,31.3,28.15,,,1,2.5918003955078124,True,REGULAR,USD
6,PLTR250207C00053000,2025-01-31 14:37:01+00:00,53.0,29.5,28.45,29.95,29.5,,1.0,40,2.1972701318359373,True,REGULAR,USD
7,PLTR250207C00055000,2025-01-31 20:39:50+00:00,55.0,27.66,26.6,28.3,1.2600002,4.7727284,99.0,261,2.333988540039062,True,REGULAR,USD
8,PLTR250207C00056000,2025-01-31 19:02:27+00:00,56.0,28.9,26.4,27.1,4.049999,16.297783,6.0,52,1.75000125,True,REGULAR,USD
9,PLTR250207C00057000,2025-01-31 20:48:52+00:00,57.0,26.24,25.45,26.1,1.9499989,8.02799,9.0,19,1.7109389453125,True,REGULAR,USD
10,PLTR250207C00058000,2025-01-31 18:22:55+00:00,58.0,27.1,24.6,25.05,3.3999996,14.34599,4.0,80,1.6992202539062502,True,REGULAR,USD
11,PLTR250207C00059000,2025-01-31 19:17:36+00:00,59.0,25.15,22.75,24.1,3.75,17.523365,2.0,16,1.8671881640625,True,REGULAR,USD
12,PLTR250207C00060000,2025-01-31 20:39:08+00:00,60.0,22.9,22.35,23.25,1.3999996,6.5116262,102.0,474,1.537111689453125,True,REGULAR,USD
13,PLTR250207C00061000,2025-01-31 20:20:19+00:00,61.0,21.85,20.95,22.5,0.80000114,3.8004808,15.0,125,1.3906280468749999,True,REGULAR,USD
14,PLTR250207C00062000,2025-01-31 20:14:00+00:00,62.0,20.5,20.8,21.2,1.7000008,9.042558,58.0,99,1.57422087890625,True,REGULAR,USD
15,PLTR250207C00063000,2025-01-31 20:57:35+00:00,63.0,20.2,18.95,20.25,1.0,5.208333,100.0,59,1.1015669921875002,True,REGULAR,USD
16,PLTR250207C00064000,2025-01-31 20:50:01+00:00,64.0,19.65,18.0,21.1,1.6000004,8.864268,16.0,118,1.7568371533203124,True,REGULAR,USD
17,PLTR250207C00065000,2025-01-31 20:58:14+00:00,65.0,18.3,17.35,18.35,1.2199993,7.142853,118.0,697,1.255863095703125,True,REGULAR,USD
18,PLTR250207C00066000,2025-01-31 19:47:24+00:00,66.0,17.67,16.7,17.9,1.7200003,10.783701,16.0,408,1.47265888671875,True,REGULAR,USD
19,PLTR250207C00067000,2025-01-31 20:37:37+00:00,67.0,16.4,15.4,16.9,0.6999998,4.4585977,66.0,589,1.3183627832031248,True,REGULAR,USD
20,PLTR250207C00068000,2025-01-31 20:50:00+00:00,68.0,16.0,15.35,16.15,1.7200003,12.04482,98.0,765,1.5312523437499999,True,REGULAR,USD
21,PLTR250207C00069000,2025-01-31 20:52:48+00:00,69.0,15.28,14.5,14.8,1.4699993,10.644455,72.0,730,1.41015919921875,True,REGULAR,USD
22,PLTR250207C00070000,2025-01-31 20:59:34+00:00,70.0,14.15,13.6,14.0,1.0999994,8.429114,1136.0,2661,1.3920928833007813,True,REGULAR,USD
23,PLTR250207C00071000,2025-01-31 20:50:01+00:00,71.0,13.5,12.85,13.25,0.9499998,7.56972,162.0,1032,1.4052764111328124,True,REGULAR,USD
24,PLTR250207C00072000,2025-01-31 20:38:06+00:00,72.0,12.41,11.85,12.6,0.96000004,8.38428,176.0,1236,1.3828155859374998,True,REGULAR,USD
25,PLTR250207C00073000,2025-01-31 20:59:56+00:00,73.0,11.46,11.3,11.7,0.71000004,6.6046515,300.0,1196,1.3867218164062498,True,REGULAR,USD
26,PLTR250207C00074000,2025-01-31 20:50:00+00:00,74.0,11.15,10.45,10.9,1.1499996,11.499996,268.0,1389,1.3525422998046874,True,REGULAR,USD
27,PLTR250207C00075000,2025-01-31 20:59:41+00:00,75.0,10.05,9.6,10.1,0.40000057,4.145084,989.0,3841,1.3139682739257812,True,REGULAR,USD
28,PLTR250207C00076000,2025-01-31 20:55:01+00:00,76.0,9.8,9.2,9.5,0.9499998,10.734461,615.0,1773,1.361331318359375,True,REGULAR,USD
29,PLTR250207C00077000,2025-01-31 20:59:20+00:00,77.0,8.83,8.65,8.85,0.55999947,6.7714562,419.0,1760,1.3706086157226562,True,REGULAR,USD
30,PLTR250207C00078000,2025-01-31 20:58:58+00:00,78.0,8.12,8.0,8.25,0.4699998,6.143788,914.0,1826,1.365237548828125,True,REGULAR,USD
31,PLTR250207C00079000,2025-01-31 20:58:58+00:00,79.0,7.55,7.4,7.65,0.46000004,6.488012,1143.0,2777,1.3598664819335937,True,REGULAR,USD
32,PLTR250207C00080000,2025-01-31 20:59:50+00:00,80.0,7.0,6.95,7.1,0.44000006,6.7073183,16643.0,20520,1.3720734521484375,True,REGULAR,USD
33,PLTR250207C00081000,2025-01-31 20:59:28+00:00,81.0,6.52,6.25,6.55,0.42000008,6.8852468,1394.0,2426,1.3466829541015621,True,REGULAR,USD
34,PLTR250207C00082000,2025-01-31 20:59:53+00:00,82.0,5.98,5.95,6.1,0.23000002,4.0000005,2603.0,3197,1.3750031249999999,True,REGULAR,USD
35,PLTR250207C00083000,2025-01-31 20:59:46+00:00,83.0,5.55,5.45,5.5,0.35000038,6.730777,5056.0,2336,1.3544954150390622,False,REGULAR,USD
36,PLTR250207C00084000,2025-01-31 20:59:47+00:00,84.0,5.11,5.05,5.15,0.30999994,6.4583316,19814.0,2310,1.3696320581054686,False,REGULAR,USD
37,PLTR250207C00085000,2025-01-31 20:59:55+00:00,85.0,4.67,4.6,4.7,0.26000023,5.895697,17169.0,8170,1.3603547607421875,False,REGULAR,USD
38,PLTR250207C00086000,2025-01-31 20:59:54+00:00,86.0,4.27,4.2,4.35,0.19999981,4.914,15221.0,13439,1.3627961547851561,False,REGULAR,USD
39,PLTR250207C00087000,2025-01-31 20:59:46+00:00,87.0,3.9,3.8,4.0,0.07000017,1.8276807,3228.0,1183,1.358889924316406,False,REGULAR,USD
40,PLTR250207C00088000,2025-01-31 20:55:00+00:00,88.0,3.75,3.5,3.6,0.25,7.1428576,1841.0,1699,1.3554719726562499,False,REGULAR,USD
41,PLTR250207C00089000,2025-01-31 20:59:03+00:00,89.0,3.22,3.1,3.3,0.17000008,5.573773,14132.0,3352,1.3457063964843747,False,REGULAR,USD
42,PLTR250207C00090000,2025-01-31 20:59:55+00:00,90.0,2.93,2.91,2.95,0.10000014,3.533574,9608.0,10207,1.3505891845703122,False,REGULAR,USD
43,PLTR250207C00091000,2025-01-31 20:59:48+00:00,91.0,2.68,2.56,2.69,0.08000016,3.0769293,2942.0,1361,1.3403353295898435,False,REGULAR,USD
44,PLTR250207C00092000,2025-01-31 20:59:31+00:00,92.0,2.41,2.32,2.43,0.07000017,2.9914606,4510.0,2117,1.338870493164062,False,REGULAR,USD
45,PLTR250207C00093000,2025-01-31 20:59:40+00:00,93.0,2.15,2.09,2.21,0.05000019,2.3809617,912.0,1113,1.3393587719726558,False,REGULAR,USD
46,PLTR250207C00094000,2025-01-31 20:59:44+00:00,94.0,1.95,1.82,2.0,-0.00999999,-0.5102036,2183.0,2097,1.329593195800781,False,REGULAR,USD
47,PLTR250207C00095000,2025-01-31 20:59:35+00:00,95.0,1.76,1.69,1.77,-0.03999996,-2.2222202,4202.0,3958,1.3320345898437496,False,REGULAR,USD
48,PLTR250207C00096000,2025-01-31 20:59:54+00:00,96.0,1.56,1.5,1.6,1.56,,13284.0,384,1.3300814746093748,False,REGULAR,USD
49,PLTR250207C00097000,2025-01-31 20:56:54+00:00,97.0,1.42,1.32,1.45,1.42,,810.0,341,1.3271518017578123,False,REGULAR,USD
50,PLTR250207C00098000,2025-01-31 20:59:17+00:00,98.0,1.26,1.2,1.34,1.26,,3971.0,357,1.337405656738281,False,REGULAR,USD
51,PLTR250207C00099000,2025-01-31 20:59:53+00:00,99.0,1.16,1.07,1.16,1.16,,778.0,156,1.3281283593749997,False,REGULAR,USD
52,PLTR250207C00100000,2025-01-31 20:59:55+00:00,100.0,1.02,1.0,1.03,-0.09000003,-8.10811,10036.0,6241,1.3359408203124996,False,REGULAR,USD
53,PLTR250207C00101000,2025-01-31 20:58:41+00:00,101.0,0.9,0.87,0.93,0.9,,698.0,362,1.3325228686523434,False,REGULAR,USD
54,PLTR250207C00102000,2025-01-31 20:59:49+00:00,102.0,0.8,0.75,0.84,0.8,,782.0,291,1.3291049169921871,False,REGULAR,USD
55,PLTR250207C00103000,2025-01-31 20:59:13+00:00,103.0,0.74,0.71,0.75,0.74,,978.0,121,1.3398470507812497,False,REGULAR,USD
56,PLTR250207C00104000,2025-01-31 20:57:06+00:00,104.0,0.67,0.53,0.68,0.67,,756.0,144,1.3154331103515622,False,REGULAR,USD
57,PLTR250207C00105000,2025-01-31 20:59:30+00:00,105.0,0.59,0.58,0.61,-0.08000004,-11.940305,1926.0,2799,1.3486360693359374,False,REGULAR,USD
58,PLTR250207C00106000,2025-01-31 20:54:52+00:00,106.0,0.6,0.51,0.55,0.6,,456.0,23,1.3496126269531248,False,REGULAR,USD
59,PLTR250207C00107000,2025-01-31 20:47:18+00:00,107.0,0.51,0.46,0.5,0.51,,389.0,112,1.3554719726562499,False,REGULAR,USD
60,PLTR250207C00108000,2025-01-31 20:58:04+00:00,108.0,0.42,0.33,0.45,0.42,,456.0,175,1.3291049169921871,False,REGULAR,USD
61,PLTR250207C00109000,2025-01-31 20:58:41+00:00,109.0,0.4,0.37,0.4,0.4,,338.0,96,1.359378203125,False,REGULAR,USD
62,PLTR250207C00110000,2025-01-31 20:59:57+00:00,110.0,0.36,0.35,0.36,-0.07999998,-18.181814,5261.0,6445,1.37109689453125,False,REGULAR,USD
0,PLTR250207P00040000,2025-01-31 20:57:04+00:00,40.0,0.02,0.0,0.02,-0.01,-33.333336,109.0,950,1.984375078125,False,REGULAR,USD
1,PLTR250207P00045000,2025-01-31 20:41:19+00:00,45.0,0.03,0.02,0.03,0.01,50.0,1590.0,1963,1.859375703125,False,REGULAR,USD
2,PLTR250207P00049500,2025-01-31 20:53:12+00:00,49.5,0.06,0.04,0.06,0.06,,824.0,67,1.7265638671875,False,REGULAR,USD
3,PLTR250207P00050000,2025-01-31 20:50:22+00:00,50.0,0.06,0.06,0.07,0.0,0.0,2699.0,4220,1.75000125,False,REGULAR,USD
4,PLTR250207P00051000,2025-01-31 20:39:47+00:00,51.0,0.08,0.06,0.24,0.08,,3751.0,4,1.9140629296875002,False,REGULAR,USD
5,PLTR250207P00052000,2025-01-31 20:31:07+00:00,52.0,0.09,0.04,0.17,0.09,,227.0,20,1.74609501953125,False,REGULAR,USD
6,PLTR250207P00053000,2025-01-31 20:45:28+00:00,53.0,0.1,0.05,0.15,0.1,,193.0,282,1.671876640625,False,REGULAR,USD
7,PLTR250207P00054000,2025-01-31 20:59:35+00:00,54.0,0.12,0.08,0.24,0.12,,246.0,109,1.732423212890625,False,REGULAR,USD
8,PLTR250207P00055000,2025-01-31 20:59:14+00:00,55.0,0.13,0.12,0.14,-0.02000001,-13.33334,1148.0,4524,1.609376953125,False,REGULAR,USD
9,PLTR250207P00056000,2025-01-31 20:51:42+00:00,56.0,0.12,0.11,0.16,-0.080000006,-40.000004,4193.0,765,1.5585959570312498,False,REGULAR,USD
10,PLTR250207P00057000,2025-01-31 20:51:00+00:00,57.0,0.15,0.13,0.19,-0.03999999,-21.052628,51.0,677,1.5390648046875,False,REGULAR,USD
11,PLTR250207P00058000,2025-01-31 20:59:34+00:00,58.0,0.2,0.13,0.22,-0.07000001,-25.925928,159.0,680,1.5000025,False,REGULAR,USD
12,PLTR250207P00059000,2025-01-31 20:59:50+00:00,59.0,0.23,0.21,0.24,0.02000001,9.523815,418.0,587,1.505861845703125,False,REGULAR,USD
13,PLTR250207P00060000,2025-01-31 20:55:39+00:00,60.0,0.27,0.25,0.28,-0.06999999,-20.588232,3100.0,5789,1.4882838085937498,False,REGULAR,USD
14,PLTR250207P00061000,2025-01-31 20:55:24+00:00,61.0,0.32,0.3,0.31,-0.08000001,-20.000004,507.0,696,1.466799541015625,False,REGULAR,USD
15,PLTR250207P00062000,2025-01-31 20:59:12+00:00,62.0,0.37,0.35,0.36,-0.109999985,-22.916664,2114.0,1301,1.4472683886718751,False,REGULAR,USD
16,PLTR250207P00063000,2025-01-31 20:59:20+00:00,63.0,0.42,0.4,0.44,-0.109999985,-20.754715,716.0,1034,1.435549697265625,False,REGULAR,USD
17,PLTR250207P00064000,2025-01-31 20:56:17+00:00,64.0,0.48,0.46,0.5,-0.15,-23.809525,1408.0,1771,1.4121123144531251,False,REGULAR,USD
18,PLTR250207P00065000,2025-01-31 20:59:49+00:00,65.0,0.56,0.54,0.57,-0.17000002,-23.287674,3146.0,6677,1.39453427734375,False,REGULAR,USD
19,PLTR250207P00066000,2025-01-31 20:59:50+00:00,66.0,0.65,0.62,0.67,-0.21000004,-24.41861,1002.0,2549,1.3808624707031247,False,REGULAR,USD
20,PLTR250207P00067000,2025-01-31 20:59:46+00:00,67.0,0.75,0.73,0.79,-0.25,-25.0,938.0,1768,1.3730500097656249,False,REGULAR,USD
21,PLTR250207P00068000,2025-01-31 20:59:40+00:00,68.0,0.87,0.84,0.89,-0.30999994,-26.271183,1290.0,2180,1.3525422998046874,False,REGULAR,USD
22,PLTR250207P00069000,2025-01-31 20:59:49+00:00,69.0,1.04,1.0,1.1,-0.32000005,-23.529415,1589.0,1493,1.3623078759765623,False,REGULAR,USD
23,PLTR250207P00070000,2025-01-31 20:59:37+00:00,70.0,1.17,1.17,1.2,-0.45000005,-27.777782,7241.0,7837,1.3418001660156247,False,REGULAR,USD
24,PLTR250207P00071000,2025-01-31 20:59:21+00:00,71.0,1.36,1.32,1.4,-0.44999993,-24.861876,1892.0,1359,1.3310580322265622,False,REGULAR,USD
25,PLTR250207P00072000,2025-01-31 20:59:42+00:00,72.0,1.6,1.56,1.64,-0.4699999,-22.70531,3121.0,2652,1.3359408203124996,False,REGULAR,USD
26,PLTR250207P00073000,2025-01-31 20:58:21+00:00,73.0,1.84,1.81,1.88,-0.56000006,-23.333336,2734.0,1544,1.333499426269531,False,REGULAR,USD
27,PLTR250207P00074000,2025-01-31 20:59:55+00:00,74.0,2.16,2.05,2.16,-0.49,-18.490566,1408.0,1564,1.3281283593749997,False,REGULAR,USD
28,PLTR250207P00075000,2025-01-31 20:59:43+00:00,75.0,2.41,2.4,2.43,-0.5899999,-19.666664,8036.0,4457,1.3300814746093748,False,REGULAR,USD
29,PLTR250207P00076000,2025-01-31 20:59:04+00:00,76.0,2.78,2.71,2.8,-0.6200001,-18.235298,2478.0,1632,1.3320345898437496,False,REGULAR,USD
30,PLTR250207P00077000,2025-01-31 20:59:53+00:00,77.0,3.11,3.1,3.2,-0.69000006,-18.157896,1610.0,1292,1.341311887207031,False,REGULAR,USD
31,PLTR250207P00078000,2025-01-31 20:59:46+00:00,78.0,3.5,3.4,3.6,-0.8000002,-18.604654,2470.0,1677,1.3305697534179686,False,REGULAR,USD
32,PLTR250207P00079000,2025-01-31 20:58:52+00:00,79.0,3.9,3.9,4.0,-0.8499999,-17.894735,1335.0,1020,1.3383822143554682,False,REGULAR,USD
33,PLTR250207P00080000,2025-01-31 20:59:58+00:00,80.0,4.37,4.35,4.45,-0.8299999,-15.961538,9563.0,2739,1.338870493164062,False,REGULAR,USD
34,PLTR250207P00081000,2025-01-31 20:59:58+00:00,81.0,4.88,4.85,4.9,-0.8800001,-15.277779,2322.0,905,1.3383822143554682,False,REGULAR,USD
35,PLTR250207P00082000,2025-01-31 20:59:54+00:00,82.0,5.45,5.25,5.6,-0.8100004,-12.939302,2035.0,657,1.3486360693359374,False,REGULAR,USD
36,PLTR250207P00083000,2025-01-31 20:59:48+00:00,83.0,5.9,5.85,5.95,-0.9000001,-13.235294,3047.0,186,1.3344759838867182,True,REGULAR,USD
37,PLTR250207P00084000,2025-01-31 20:59:58+00:00,84.0,6.42,6.3,6.55,-0.98,-13.243243,3412.0,264,1.325686965332031,True,REGULAR,USD
38,PLTR250207P00085000,2025-01-31 20:59:44+00:00,85.0,7.05,6.95,7.15,-1.0699997,-13.177337,3549.0,336,1.3339877050781246,True,REGULAR,USD
39,PLTR250207P00086000,2025-01-31 20:57:43+00:00,86.0,7.6,7.5,7.75,-1.0499997,-12.138726,619.0,50,1.32422212890625,True,REGULAR,USD
40,PLTR250207P00087000,2025-01-31 20:59:35+00:00,87.0,8.23,8.15,8.45,-1.0700006,-11.5053835,349.0,62,1.3325228686523434,True,REGULAR,USD
41,PLTR250207P00088000,2025-01-31 20:58:58+00:00,88.0,8.92,8.8,9.15,-1.0799999,-10.799999,134.0,49,1.3344759838867182,True,REGULAR,USD
42,PLTR250207P00089000,2025-01-31 20:50:54+00:00,89.0,9.12,9.45,9.8,-1.5799999,-14.766355,196.0,41,1.32422212890625,True,REGULAR,USD
43,PLTR250207P00090000,2025-01-31 20:58:35+00:00,90.0,10.25,10.2,10.45,-1.25,-10.869565,296.0,132,1.3203158984374999,True,REGULAR,USD
44,PLTR250207P00091000,2025-01-31 19:19:57+00:00,91.0,10.3,10.75,11.2,-3.0999994,-23.134325,43.0,12,1.2973667944335934,True,REGULAR,USD
45,PLTR250207P00092000,2025-01-31 20:48:48+00:00,92.0,11.38,11.55,11.95,-2.62,-18.714285,102.0,73,1.3017613037109372,True,REGULAR,USD
46,PLTR250207P00093000,2025-01-31 20:46:57+00:00,93.0,12.3,12.3,12.7,-1.3999996,-10.218976,25.0,16,1.29297228515625,True,REGULAR,USD
47,PLTR250207P00094000,2025-01-31 20:56:24+00:00,94.0,13.3,13.15,13.55,-1.1999998,-8.275861,54.0,10,1.3085972070312497,True,REGULAR,USD
48,PLTR250207P00095000,2025-01-31 20:42:46+00:00,95.0,14.1,13.95,14.35,-2.5,-15.06024,90.0,12,1.303714418945312,True,REGULAR,USD
49,PLTR250207P00096000,2025-01-31 18:54:26+00:00,96.0,14.05,14.75,15.2,14.05,,3.0,12,1.3017613037109372,True,REGULAR,USD
50,PLTR250207P00097000,2025-01-31 19:13:54+00:00,97.0,14.7,15.5,16.3,14.7,,62.0,4,1.3291049169921871,True,REGULAR,USD
51,PLTR250207P00098000,2025-01-31 18:16:47+00:00,98.0,14.8,15.8,17.15,14.8,,89.0,2,1.2216835791015623,True,REGULAR,USD
52,PLTR250207P00099000,2025-01-30 20:51:19+00:00,99.0,18.95,17.3,17.9,18.95,,,1,1.3188510620117184,True,REGULAR,USD
53,PLTR250207P00100000,2025-01-31 20:58:45+00:00,100.0,18.4,18.3,18.65,-2.58,-12.297426,211.0,19,1.3154331103515622,True,REGULAR,USD
54,PLTR250207P00101000,2025-01-31 17:55:28+00:00,101.0,17.5,19.1,19.7,17.5,,10.0,11,1.3281283593749997,True,REGULAR,USD
55,PLTR250207P00102000,2025-01-31 17:55:28+00:00,102.0,18.36,19.2,20.75,18.36,,10.0,0,1.1572307763671876,True,REGULAR,USD
56,PLTR250207P00103000,2025-01-31 17:53:12+00:00,103.0,19.25,20.55,21.7,19.25,,2.0,1,1.2812535937499998,True,REGULAR,USD
57,PLTR250207P00104000,2025-01-29 20:13:20+00:00,104.0,24.75,21.35,22.4,24.75,,,14,1.1689494677734376,True,REGULAR,USD
58,PLTR250207P00105000,2025-01-31 20:54:34+00:00,105.0,22.3,22.45,23.5,-3.8400002,-14.690131,38.0,8,1.272464575195312,True,REGULAR,USD
59,PLTR250207P00106000,2025-01-31 16:15:20+00:00,106.0,22.05,23.6,24.4,22.05,,8.0,6,1.3251986865234373,True,REGULAR,USD
60,PLTR250207P00108000,2025-01-31 16:01:21+00:00,108.0,24.22,25.45,26.45,24.22,,11.0,30,1.365237548828125,True,REGULAR,USD
61,PLTR250207P00109000,2025-01-31 20:07:15+00:00,109.0,26.65,26.3,27.35,26.65,,2.0,0,1.3046909765624997,True,REGULAR,USD
62,PLTR250207P00110000,2025-01-31 20:54:05+00:00,110.0,27.2,26.95,28.35,-1.5999985,-5.5555506,29.0,9,1.15625421875,True,REGULAR,USD
